RACEID,YEAR,ROUND,NAME,F1DATE,TIME,URL,SCORE,DNF_COUNT,DNF_DUE_TO_ACCIDENT_COUNT,WEATHER,WEATHER_WET,CIRCUITREF,YEAR_C,RACE_COUNT,NAME_YEAR,OVERTAKEN_POSITIONS_TOTAL
253,1995,14,European Grand Prix,1-Oct-95,\N,http://en.wikipedia.org/wiki/1995_European_Grand_Prix,,9,5,"Rain, later dried out, air temperature 11 °C (52 °F)",Y,nurburgring,1995,1,1995 European Grand Prix,0
256,1995,17,Australian Grand Prix,12-Nov-95,\N,http://en.wikipedia.org/wiki/1995_Australian_Grand_Prix,,16,8,Sunny[2],N,adelaide,1995,1,1995 Australian Grand Prix,0
257,1994,1,Brazilian Grand Prix,27-Mar-94,\N,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix,,16,9,Sunny,N,interlagos,1994,1,1994 Brazilian Grand Prix,0
258,1994,2,Pacific Grand Prix,17-Apr-94,\N,http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix,,17,7,Sunny,N,okayama,1994,1,1994 Pacific Grand Prix,0
259,1994,3,San Marino Grand Prix,1-May-94,\N,http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix,,16,9,Sunny,N,imola,1994,1,1994 San Marino Grand Prix,0
262,1994,6,Canadian Grand Prix,12-Jun-94,\N,http://en.wikipedia.org/wiki/1994_Canadian_Grand_Prix,,13,4,not found,N,villeneuve,1994,1,1994 Canadian Grand Prix,0
263,1994,7,French Grand Prix,3-Jul-94,\N,http://en.wikipedia.org/wiki/1994_French_Grand_Prix,,18,6,Sunny,N,magny_cours,1994,1,1994 French Grand Prix,0
2,2009,2,Malaysian Grand Prix,5-Apr-09,9:00:00,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,5.284,5,4,"Dry start, with heavy rain and thunderstorm/monsoon later",Y,sepang,2009,1,2009 Malaysian Grand Prix,135
4,2009,4,Bahrain Grand Prix,26-Apr-09,12:00:00,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,6.42,1,0,Sunny,N,bahrain,2009,1,2009 Bahrain Grand Prix,177
13,2009,13,Italian Grand Prix,13-Sep-09,12:00:00,http://en.wikipedia.org/wiki/2009_Italian_Grand_Prix,7.049,5,2,Mainly sunny,N,monza,2009,1,2009 Italian Grand Prix,104
15,2009,15,Japanese Grand Prix,4-Oct-09,5:00:00,http://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix,5.58,3,2,"Sunny, Dry",N,suzuka,2009,1,2009 Japanese Grand Prix,134
17,2009,17,Abu Dhabi Grand Prix,1-Nov-09,11:00:00,http://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix,5.794,2,0,Dry,N,yas_marina,2009,1,2009 Abu Dhabi Grand Prix,119
18,2008,1,Australian Grand Prix,16-Mar-08,4:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,7.609,16,8,"Sunny,very hot with air temperature 39°C.",N,albert_park,2008,1,2008 Australian Grand Prix,95
20,2008,3,Bahrain Grand Prix,6-Apr-08,11:30:00,http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix,5.364,3,1,Dry,N,bahrain,2008,1,2008 Bahrain Grand Prix,148
27,2008,10,German Grand Prix,20-Jul-08,12:00:00,http://en.wikipedia.org/wiki/2008_German_Grand_Prix,7.18,3,1,"Cloudy, later sunny[1]",N,hockenheimring,2008,1,2008 German Grand Prix,181
45,2007,10,European Grand Prix,22-Jul-07,12:00:00,http://en.wikipedia.org/wiki/2007_European_Grand_Prix,,9,6,Heavy Rain on Lap 1. Drying track at restart. Light Rain before the finish.,Y,nurburgring,2007,1,2007 European Grand Prix,189
48,2007,13,Italian Grand Prix,9-Sep-07,12:00:00,http://en.wikipedia.org/wiki/2007_Italian_Grand_Prix,,2,1,Sunny,N,monza,2007,1,2007 Italian Grand Prix,138
52,2007,17,Brazilian Grand Prix,21-Oct-07,16:00:00,http://en.wikipedia.org/wiki/2007_Brazilian_Grand_Prix,,8,3,not found,N,interlagos,2007,1,2007 Brazilian Grand Prix,125
53,2006,1,Bahrain Grand Prix,12-Mar-06,14:30:00,http://en.wikipedia.org/wiki/2006_Bahrain_Grand_Prix,,4,0,"Fine, Dry and HotAir Temp 23 °C (73 °F)[1]Track Temp 40 °C (104 °F)[1] dropping to 34 °C (93 °F)",N,bahrain,2006,1,2006 Bahrain Grand Prix,162
57,2006,5,European Grand Prix,7-May-06,14:00:00,http://en.wikipedia.org/wiki/2006_European_Grand_Prix,,9,2,not found,N,nurburgring,2006,1,2006 European Grand Prix,112
59,2006,7,Monaco Grand Prix,28-May-06,14:00:00,http://en.wikipedia.org/wiki/2006_Monaco_Grand_Prix,,6,1,Fine,N,monaco,2006,1,2006 Monaco Grand Prix,105
63,2006,11,French Grand Prix,16-Jul-06,14:00:00,http://en.wikipedia.org/wiki/2006_French_Grand_Prix,,6,0,"Sunny, warm",N,magny_cours,2006,1,2006 French Grand Prix,119
272,1994,16,Australian Grand Prix,13-Nov-94,\N,http://en.wikipedia.org/wiki/1994_Australian_Grand_Prix,,17,5,Sunny with clouds,N,adelaide,1994,1,1994 Australian Grand Prix,0
274,1993,2,Brazilian Grand Prix,28-Mar-93,\N,http://en.wikipedia.org/wiki/1993_Brazilian_Grand_Prix,,14,8,Dry first then torrential rain; later drying and staying dry for the rest of the race,Y,interlagos,1993,1,1993 Brazilian Grand Prix,0
275,1993,3,European Grand Prix,11-Apr-93,\N,http://en.wikipedia.org/wiki/1993_European_Grand_Prix,,16,6,"Very cold, rain with dry spells",Y,donington,1993,1,1993 European Grand Prix,0
276,1993,4,San Marino Grand Prix,25-Apr-93,\N,http://en.wikipedia.org/wiki/1993_San_Marino_Grand_Prix,,19,6,"Wet at start, dry later",Y,imola,1993,1,1993 San Marino Grand Prix,0
277,1993,5,Spanish Grand Prix,9-May-93,\N,http://en.wikipedia.org/wiki/1993_Spanish_Grand_Prix,,13,2,not found,N,catalunya,1993,1,1993 Spanish Grand Prix,0
278,1993,6,Monaco Grand Prix,23-May-93,\N,http://en.wikipedia.org/wiki/1993_Monaco_Grand_Prix,,13,4,"Partly cloudy, mild, dry",N,monaco,1993,1,1993 Monaco Grand Prix,0
284,1993,12,Belgian Grand Prix,29-Aug-93,\N,http://en.wikipedia.org/wiki/1993_Belgian_Grand_Prix,,13,5,Sunny and clear,N,spa,1993,1,1993 Belgian Grand Prix,0
286,1993,14,Portuguese Grand Prix,26-Sep-93,\N,http://en.wikipedia.org/wiki/1993_Portuguese_Grand_Prix,,12,8,"Dry, sunny, windy",N,estoril,1993,1,1993 Portuguese Grand Prix,0
287,1993,15,Japanese Grand Prix,24-Oct-93,\N,http://en.wikipedia.org/wiki/1993_Japanese_Grand_Prix,,13,7,"Dry/wet, warm, cloudy",Y,suzuka,1993,1,1993 Japanese Grand Prix,0
288,1993,16,Australian Grand Prix,7-Nov-93,\N,http://en.wikipedia.org/wiki/1993_Australian_Grand_Prix,,11,5,Sunny,N,adelaide,1993,1,1993 Australian Grand Prix,0
289,1992,1,South African Grand Prix,1-Mar-92,\N,http://en.wikipedia.org/wiki/1992_South_African_Grand_Prix,,17,0,"Hot, dry and dull",N,kyalami,1992,1,1992 South African Grand Prix,0
293,1992,5,San Marino Grand Prix,17-May-92,\N,http://en.wikipedia.org/wiki/1992_San_Marino_Grand_Prix,,20,6,Sunny,N,imola,1992,1,1992 San Marino Grand Prix,0
294,1992,6,Monaco Grand Prix,31-May-92,\N,http://en.wikipedia.org/wiki/1992_Monaco_Grand_Prix,,20,4,Dry,N,monaco,1992,1,1992 Monaco Grand Prix,0
296,1992,8,French Grand Prix,5-Jul-92,\N,http://en.wikipedia.org/wiki/1992_French_Grand_Prix,,19,8,"Dry, then raining",Y,magny_cours,1992,1,1992 French Grand Prix,0
297,1992,9,British Grand Prix,12-Jul-92,\N,http://en.wikipedia.org/wiki/1992_British_Grand_Prix,,16,1,Dry,N,silverstone,1992,1,1992 British Grand Prix,0
301,1992,13,Italian Grand Prix,13-Sep-92,\N,http://en.wikipedia.org/wiki/1992_Italian_Grand_Prix,,19,1,Sunny and warm,N,monza,1992,1,1992 Italian Grand Prix,0
302,1992,14,Portuguese Grand Prix,27-Sep-92,\N,http://en.wikipedia.org/wiki/1992_Portuguese_Grand_Prix,,12,4,"Dry, sunny, windy",N,estoril,1992,1,1992 Portuguese Grand Prix,0
311,1991,7,French Grand Prix,7-Jul-91,\N,http://en.wikipedia.org/wiki/1991_French_Grand_Prix,,22,5,not found,N,magny_cours,1991,1,1991 French Grand Prix,0
312,1991,8,British Grand Prix,14-Jul-91,\N,http://en.wikipedia.org/wiki/1991_British_Grand_Prix,,22,5,"Hot, dry, sunny",N,silverstone,1991,1,1991 British Grand Prix,0
313,1991,9,German Grand Prix,28-Jul-91,\N,http://en.wikipedia.org/wiki/1991_German_Grand_Prix,,22,2,Hot and sunny,N,hockenheimring,1991,1,1991 German Grand Prix,0
314,1991,10,Hungarian Grand Prix,11-Aug-91,\N,http://en.wikipedia.org/wiki/1991_Hungarian_Grand_Prix,,18,0,"Hot dry, sunny",N,hungaroring,1991,1,1991 Hungarian Grand Prix,0
315,1991,11,Belgian Grand Prix,25-Aug-91,\N,http://en.wikipedia.org/wiki/1991_Belgian_Grand_Prix,,23,1,not found,N,spa,1991,1,1991 Belgian Grand Prix,0
317,1991,13,Portuguese Grand Prix,22-Sep-91,\N,http://en.wikipedia.org/wiki/1991_Portuguese_Grand_Prix,,18,1,Sunny and warm,N,estoril,1991,1,1991 Portuguese Grand Prix,0
322,1990,2,Brazilian Grand Prix,25-Mar-90,\N,http://en.wikipedia.org/wiki/1990_Brazilian_Grand_Prix,,23,4,"Hot, dry, sunny",N,interlagos,1990,1,1990 Brazilian Grand Prix,0
326,1990,6,Mexican Grand Prix,24-Jun-90,\N,http://en.wikipedia.org/wiki/1990_Mexican_Grand_Prix,,16,2,Overcast21 °C (70 °F)[1],N,rodriguez,1990,1,1990 Mexican Grand Prix,0
328,1990,8,British Grand Prix,15-Jul-90,\N,http://en.wikipedia.org/wiki/1990_British_Grand_Prix,,22,1,"Hot, dry, sunny",N,silverstone,1990,1,1990 British Grand Prix,0
329,1990,9,German Grand Prix,29-Jul-90,\N,http://en.wikipedia.org/wiki/1990_German_Grand_Prix,,25,2,"Hot, dry, sunny",N,hockenheimring,1990,1,1990 German Grand Prix,0
331,1990,11,Belgian Grand Prix,26-Aug-90,\N,http://en.wikipedia.org/wiki/1990_Belgian_Grand_Prix,,17,2,Dry,N,spa,1990,1,1990 Belgian Grand Prix,0
66,2006,14,Turkish Grand Prix,27-Aug-06,15:00:00,http://en.wikipedia.org/wiki/2006_Turkish_Grand_Prix,,7,5,"Sunny, hot",N,istanbul,2006,1,2006 Turkish Grand Prix,132
76,2005,6,Monaco Grand Prix,22-May-05,14:00:00,http://en.wikipedia.org/wiki/2005_Monaco_Grand_Prix,,4,3,Fine,N,monaco,2005,1,2005 Monaco Grand Prix,70
83,2005,13,Hungarian Grand Prix,31-Jul-05,14:00:00,http://en.wikipedia.org/wiki/2005_Hungarian_Grand_Prix,,5,2,"Sunny, Air: 34 °C (93 °F), Track 45 °C (113 °F)",N,hungaroring,2005,1,2005 Hungarian Grand Prix,84
86,2005,16,Belgian Grand Prix,11-Sep-05,14:00:00,http://en.wikipedia.org/wiki/2005_Belgian_Grand_Prix,,7,6,Wet and dry,Y,spa,2005,1,2005 Belgian Grand Prix,136
87,2005,17,Brazilian Grand Prix,25-Sep-05,14:00:00,http://en.wikipedia.org/wiki/2005_Brazilian_Grand_Prix,,4,2,"Cloudy, dry, Air: 23 °C (73 °F), Track 22 °C (72 °F)",N,interlagos,2005,1,2005 Brazilian Grand Prix,87
90,2004,1,Australian Grand Prix,7-Mar-04,\N,http://en.wikipedia.org/wiki/2004_Australian_Grand_Prix,,6,0,Dry & cloudyAir Temp 20 °C (68 °F),N,albert_park,2004,1,2004 Australian Grand Prix,104
93,2004,4,San Marino Grand Prix,25-Apr-04,\N,http://en.wikipedia.org/wiki/2004_San_Marino_Grand_Prix,,5,1,"Clear, air temp: 22°C",N,imola,2004,1,2004 San Marino Grand Prix,128
95,2004,6,Monaco Grand Prix,23-May-04,\N,http://en.wikipedia.org/wiki/2004_Monaco_Grand_Prix,,11,5,not found,N,monaco,2004,1,2004 Monaco Grand Prix,41
99,2004,10,French Grand Prix,4-Jul-04,\N,http://en.wikipedia.org/wiki/2004_French_Grand_Prix,,2,1,Sunny,N,magny_cours,2004,1,2004 French Grand Prix,151
108,2003,1,Australian Grand Prix,9-Mar-03,\N,http://en.wikipedia.org/wiki/2003_Australian_Grand_Prix,,9,3,not found,N,albert_park,2003,1,2003 Australian Grand Prix,214
111,2003,4,San Marino Grand Prix,20-Apr-03,\N,http://en.wikipedia.org/wiki/2003_San_Marino_Grand_Prix,,5,0,Mostly cloudy with maximum ambient temperatures reaching 13 degrees during the day.,N,imola,2003,1,2003 San Marino Grand Prix,146
114,2003,7,Monaco Grand Prix,1-Jun-03,\N,http://en.wikipedia.org/wiki/2003_Monaco_Grand_Prix,,7,2,Fine,N,monaco,2003,1,2003 Monaco Grand Prix,88
117,2003,10,French Grand Prix,6-Jul-03,\N,http://en.wikipedia.org/wiki/2003_French_Grand_Prix,,4,0,"Cloudy, Air: 26 °C (79 °F), Track 35 °C (95 °F)",N,magny_cours,2003,1,2003 French Grand Prix,139
119,2003,12,German Grand Prix,3-Aug-03,\N,http://en.wikipedia.org/wiki/2003_German_Grand_Prix,,9,6,Fine,N,hockenheimring,2003,1,2003 German Grand Prix,69
130,2002,7,Monaco Grand Prix,26-May-02,\N,http://en.wikipedia.org/wiki/2002_Monaco_Grand_Prix,,10,7,Fine; air temperature 22 °C (72 °F),N,monaco,2002,1,2002 Monaco Grand Prix,91
607,1973,3,South African Grand Prix,3-Mar-73,\N,http://en.wikipedia.org/wiki/1973_South_African_Grand_Prix,,15,5,"Sunny, Hot, Dry",N,kyalami,1973,1,1973 South African Grand Prix,0
608,1973,4,Spanish Grand Prix,29-Apr-73,\N,http://en.wikipedia.org/wiki/1973_Spanish_Grand_Prix,,10,0,"Sunny, Hot, Dry",N,montjuic,1973,1,1973 Spanish Grand Prix,0
611,1973,7,Swedish Grand Prix,17-Jun-73,\N,http://en.wikipedia.org/wiki/1973_Swedish_Grand_Prix,,8,1,not found,N,anderstorp,1973,1,1973 Swedish Grand Prix,0
612,1973,8,French Grand Prix,1-Jul-73,\N,http://en.wikipedia.org/wiki/1973_French_Grand_Prix,,9,2,Sunny and warm,N,ricard,1973,1,1973 French Grand Prix,0
613,1973,9,British Grand Prix,14-Jul-73,\N,http://en.wikipedia.org/wiki/1973_British_Grand_Prix,,16,10,Dry,N,silverstone,1973,1,1973 British Grand Prix,0
614,1973,10,Dutch Grand Prix,29-Jul-73,\N,http://en.wikipedia.org/wiki/1973_Dutch_Grand_Prix,,14,3,Dry,N,zandvoort,1973,1,1973 Dutch Grand Prix,0
616,1973,12,Austrian Grand Prix,19-Aug-73,\N,http://en.wikipedia.org/wiki/1973_Austrian_Grand_Prix,,13,1,not found,N,osterreichring,1973,1,1973 Austrian Grand Prix,0
620,1972,1,Argentine Grand Prix,23-Jan-72,\N,http://en.wikipedia.org/wiki/1972_Argentine_Grand_Prix,,11,1,not found,N,galvez,1972,1,1972 Argentine Grand Prix,0
624,1972,5,Belgian Grand Prix,4-Jun-72,\N,http://en.wikipedia.org/wiki/1972_Belgian_Grand_Prix,,11,2,not found,N,nivelles,1972,1,1972 Belgian Grand Prix,0
625,1972,6,French Grand Prix,2-Jul-72,\N,http://en.wikipedia.org/wiki/1972_French_Grand_Prix,,8,1,not found,N,charade,1972,1,1972 French Grand Prix,0
626,1972,7,British Grand Prix,15-Jul-72,\N,http://en.wikipedia.org/wiki/1972_British_Grand_Prix,,15,6,"Warm, dry",N,brands_hatch,1972,1,1972 British Grand Prix,0
628,1972,9,Austrian Grand Prix,13-Aug-72,\N,http://en.wikipedia.org/wiki/1972_Austrian_Grand_Prix,,11,0,"Sunny, hot",N,osterreichring,1972,1,1972 Austrian Grand Prix,0
631,1972,12,United States Grand Prix,8-Oct-72,\N,http://en.wikipedia.org/wiki/1972_United_States_Grand_Prix,,15,2,"Sunny at start, brief showers late",Y,watkins_glen,1972,1,1972 United States Grand Prix,0
640,1971,9,Italian Grand Prix,5-Sep-71,\N,http://en.wikipedia.org/wiki/1971_Italian_Grand_Prix,,14,1,not found,N,monza,1971,1,1971 Italian Grand Prix,0
642,1971,11,United States Grand Prix,3-Oct-71,\N,http://en.wikipedia.org/wiki/1971_United_States_Grand_Prix,,14,2,Dry,N,watkins_glen,1971,1,1971 United States Grand Prix,0
644,1970,2,Spanish Grand Prix,19-Apr-70,\N,http://en.wikipedia.org/wiki/1970_Spanish_Grand_Prix,,17,2,not found,N,jarama,1970,1,1970 Spanish Grand Prix,0
648,1970,6,French Grand Prix,5-Jul-70,\N,http://en.wikipedia.org/wiki/1970_French_Grand_Prix,,10,1,Overcast,N,charade,1970,1,1970 French Grand Prix,0
649,1970,7,British Grand Prix,18-Jul-70,\N,http://en.wikipedia.org/wiki/1970_British_Grand_Prix,,14,2,not found,N,brands_hatch,1970,1,1970 British Grand Prix,0
651,1970,9,Austrian Grand Prix,16-Aug-70,\N,http://en.wikipedia.org/wiki/1970_Austrian_Grand_Prix,,9,1,not found,N,osterreichring,1970,1,1970 Austrian Grand Prix,0
654,1970,12,United States Grand Prix,4-Oct-70,\N,http://en.wikipedia.org/wiki/1970_United_States_Grand_Prix,,13,0,Cloudy and dry with temperatures reaching up to 50 °F (10 °C); winds gusting up to 15.9 miles per hour (25.6 km/h)[1],N,watkins_glen,1970,1,1970 United States Grand Prix,0
655,1970,13,Mexican Grand Prix,25-Oct-70,\N,http://en.wikipedia.org/wiki/1970_Mexican_Grand_Prix,,9,0,not found,N,rodriguez,1970,1,1970 Mexican Grand Prix,0
657,1969,2,Spanish Grand Prix,4-May-69,\N,http://en.wikipedia.org/wiki/1969_Spanish_Grand_Prix,,8,2,"Sunny, mild, dry",N,montjuic,1969,1,1969 Spanish Grand Prix,0
658,1969,3,Monaco Grand Prix,18-May-69,\N,http://en.wikipedia.org/wiki/1969_Monaco_Grand_Prix,,9,2,"Overcast, mild, dry",N,monaco,1969,1,1969 Monaco Grand Prix,0
661,1969,6,British Grand Prix,19-Jul-69,\N,http://en.wikipedia.org/wiki/1969_British_Grand_Prix,,7,0,"Overcast, dry",N,silverstone,1969,1,1969 British Grand Prix,0
667,1968,1,South African Grand Prix,1-Jan-68,\N,http://en.wikipedia.org/wiki/1968_South_African_Grand_Prix,,14,1,"Very hot, dry",N,kyalami,1968,1,1968 South African Grand Prix,0
669,1968,3,Monaco Grand Prix,26-May-68,\N,http://en.wikipedia.org/wiki/1968_Monaco_Grand_Prix,,13,5,"Sunny, Mild, Dry",N,monaco,1968,1,1968 Monaco Grand Prix,0
671,1968,5,Dutch Grand Prix,23-Jun-68,\N,http://en.wikipedia.org/wiki/1968_Dutch_Grand_Prix,,11,5,Showers,Y,zandvoort,1968,1,1968 Dutch Grand Prix,0
676,1968,10,Canadian Grand Prix,22-Sep-68,\N,http://en.wikipedia.org/wiki/1968_Canadian_Grand_Prix,,15,2,Sunny with temperatures reaching up to 27.8 °C (82.0 °F) and wind speeds up to 10.1 kilometres per hour (6.3 mph); no precipitation reported throughout the day[1],N,tremblant,1968,1,1968 Canadian Grand Prix,0
677,1968,11,United States Grand Prix,6-Oct-68,\N,http://en.wikipedia.org/wiki/1968_United_States_Grand_Prix,,14,1,Temperatures reaching a maximum of 51.1 °F (10.6 °C); wind speeds up to 14 miles per hour (23 km/h)[1],N,watkins_glen,1968,1,1968 United States Grand Prix,0
679,1967,1,South African Grand Prix,2-Jan-67,\N,http://en.wikipedia.org/wiki/1967_South_African_Grand_Prix,,12,2,not found,N,kyalami,1967,1,1967 South African Grand Prix,0
680,1967,2,Monaco Grand Prix,7-May-67,\N,http://en.wikipedia.org/wiki/1967_Monaco_Grand_Prix,,13,2,not found,N,monaco,1967,1,1967 Monaco Grand Prix,0
684,1967,6,British Grand Prix,15-Jul-67,\N,http://en.wikipedia.org/wiki/1967_British_Grand_Prix,,11,0,not found,N,silverstone,1967,1,1967 British Grand Prix,0
688,1967,10,United States Grand Prix,1-Oct-67,\N,http://en.wikipedia.org/wiki/1967_United_States_Grand_Prix,,11,0,Sunny,N,watkins_glen,1967,1,1967 United States Grand Prix,0
692,1966,3,French Grand Prix,3-Jul-66,\N,http://en.wikipedia.org/wiki/1966_French_Grand_Prix,,9,0,"Hot, dry",N,reims,1966,1,1966 French Grand Prix,0
693,1966,4,British Grand Prix,16-Jul-66,\N,http://en.wikipedia.org/wiki/1966_British_Grand_Prix,,9,0,"Wet, drying later",Y,brands_hatch,1966,1,1966 British Grand Prix,0
694,1966,5,Dutch Grand Prix,24-Jul-66,\N,http://en.wikipedia.org/wiki/1966_Dutch_Grand_Prix,,8,2,"Sunny, Mild, Dry",N,zandvoort,1966,1,1966 Dutch Grand Prix,0
697,1966,8,United States Grand Prix,2-Oct-66,\N,http://en.wikipedia.org/wiki/1966_United_States_Grand_Prix,,14,0,"Cool, dry",N,watkins_glen,1966,1,1966 United States Grand Prix,0
